Timestamp,SrcIp,DestIp,L4Protocol,totalFlow
"2023-09-14T01:24:00Z","198.235.24.199","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","198.235.24.143","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","198.235.24.8","10.0.0.4",TCP,2
"2023-09-14T01:24:00Z","97.107.141.150","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","107.170.238.10","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","115.149.163.86","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","192.241.195.40","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","91.240.118.221","10.0.0.6",TCP,2
"2023-09-14T01:24:00Z","103.56.61.132","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","45.33.84.124","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","79.124.62.86","10.0.0.6",TCP,7
"2023-09-14T01:24:00Z","141.98.11.60","10.0.0.6",TCP,2
"2023-09-14T01:24:00Z","159.203.224.14","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","183.136.225.29","10.0.0.6",TCP,3
"2023-09-14T01:24:00Z","185.225.75.51","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","205.210.31.173","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","45.79.109.236","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","71.6.135.131","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","79.110.62.163","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","89.190.156.176","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","81.17.18.98","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","94.102.61.53","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","79.124.62.82","10.0.0.6",TCP,5
"2023-09-14T01:24:00Z","43.131.43.27","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","65.49.20.89","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","10.0.0.4",,TCP,9
"2023-09-14T01:24:00Z","198.235.24.40","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","193.35.18.206","10.0.0.4",TCP,1
"2023-09-14T01:24:00Z","79.124.62.86","10.0.0.4",TCP,5
"2023-09-14T01:24:00Z","5.188.210.232","10.0.0.6",TCP,2
"2023-09-14T01:24:00Z","45.147.250.222","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","89.248.165.99","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","74.82.47.10","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","103.171.86.18","10.0.0.6",UDP,1
"2023-09-14T01:24:00Z","35.203.210.10","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","107.170.233.14","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","162.243.131.34","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","167.248.133.137","10.0.0.6",TCP,1
"2023-09-14T01:24:00Z","179.43.191.194","10.0.0.6",TCP,2
"2023-09-14T01:24:00Z","183.136.225.5","10.0.0.6",TCP,4
"2023-09-14T01:24:00Z","141.98.11.60","10.0.0.4",TCP,3
